target_table,target_column,source_table,source_column,confidence_score,mapping_method,domain,search_time
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,ANB_ID,NO_MATCH,NO_MATCH,0.0,no_match,transaction,
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,ROW_NUM,NO_MATCH,NO_MATCH,0.0,no_match,transaction,
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PROCESSING_DATE,NO_MATCH,NO_MATCH,0.0,no_match,transaction,
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PAYMENT_ACH_BATCHES,NO_MATCH,NO_MATCH,0.0,no_match,transaction,
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PAYMENT_ACH_ITEMS,NO_MATCH,NO_MATCH,0.0,no_match,transaction,
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PAYMENT_TOTAL_CREDITS,NO_MATCH,NO_MATCH,0.0,no_match,transaction,
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,PAYMENT_TOTAL_DEBITS,NO_MATCH,NO_MATCH,0.0,no_match,transaction,
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,SFT_ACH_BATCHES,NO_MATCH,NO_MATCH,0.0,no_match,transaction,
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,SFT_ACH_ITEMS,NO_MATCH,NO_MATCH,0.0,no_match,transaction,
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,SFT_TOTAL_CREDITS,NO_MATCH,NO_MATCH,0.0,no_match,transaction,
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,SFT_TOTAL_DEBITS,NO_MATCH,NO_MATCH,0.0,no_match,transaction,
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,COMBINED_ACH_BATCHES,NO_MATCH,NO_MATCH,0.0,no_match,transaction,
ACCOUNT_ACH_BATCH_PAYMENT_SUMMARY,COMBINED_ACH_ITEMS,NO_MATCH,NO_MATCH,0.0,no_match,transaction,
